commit_index,sha,date,rust_code_lines,rust_total_lines,unsafe_lines,unsafe_fn,unsafe_blocks,static_mut,raw_pointer_tokens,c_type_tokens,as_casts,libc_refs,tests,subject
25,89eeba8,2026-09-06T23:36:12+02:00,61092,61258,42095,1140,1026,857,5540,2903,27833,65,0,"Track 16 phase 23: m_config.rs's doom_defaults/extra_defaults pair, deferred since phase 5"
26,414f10a,2026-09-06T23:51:45+02:00,61375,61556,42342,1140,1423,798,5540,2903,27833,65,0,"Track 16 phase 24: the p_map/p_enemy/p_maputl cluster, where PIT_*/PTR_* lives"
27,57d0db1,2026-09-06T23:56:46+02:00,61422,61605,42381,1140,1484,795,5540,2903,27833,65,0,Track 16 phase 25: w_wad.rs's lump directory (lumpinfo/numlumps/lumphash)
28,e3ca99f,2026-09-07T00:02:20+02:00,61444,61630,42387,1140,1514,785,5540,2903,27833,65,0,Track 16 phase 26: p_spec.rs's texture-animation and special-line tables
29,6e95f67,2026-09-07T00:07:22+02:00,61572,61760,42505,1140,1655,762,5540,2903,27833,65,0,Track 16 phase 27: p_inter.rs's ammo tables + r_things.rs's sprite-rendering state
30,d0b2ff4,2026-09-07T00:17:39+02:00,61729,61921,42614,1140,1896,723,5540,2903,27833,65,0,Track 16 phase 28: d_loop.rs's game-loop timing + hu_stuff.rs's HUD/chat widgets
31,b22ebcb,2026-09-07T00:23:41+02:00,61810,62008,42674,1140,1955,719,5540,2903,27833,65,0,Track 16 phase 29: m_argv.rs's command-line args + r_sky.rs's sky texture state
32,c64a18d,2026-09-07T00:33:59+02:00,61872,62075,42698,1140,2000,703,5540,2903,27833,65,0,Track 16 phase 30: p_saveg.rs's save-file state + i_system.rs's exit/crash-dump state
33,36ed69d,2026-09-07T06:20:27+02:00,61907,62119,42709,1140,2239,593,5532,2903,27825,65,0,"Track 16 phase 31: m_controls.rs, all 109 keybinding config variables"
34,21d1c1a,2026-09-07T06:30:27+02:00,62308,62522,43161,1140,3175,512,5532,2903,27825,65,0,"Track 16 phase 32: g_game.rs, the biggest hub in the codebase"
35,cd5335b,2026-09-07T06:45:16+02:00,62597,62825,43501,1140,3479,449,5532,2903,27825,65,0,"Track 16 phase 33: m_menu.rs, the menu system (and a real regression fix)"
36,b58e43d,2026-09-07T06:52:07+02:00,62597,62825,43499,1140,3477,448,5532,2903,27825,65,0,"Track 16 phase 34: fix two more instances of the per-file-static shadow bug, plus a phase 28 leftover"
37,906ae81,2026-09-07T07:05:14+02:00,62657,62888,43499,1140,3867,385,5532,2903,27825,65,0,Phase 35: thread am_map.rs into GameState
38,4ba7459,2026-09-07T07:12:31+02:00,62718,62952,43494,1140,4196,325,5532,2903,27825,65,0,Phase 36: thread st_stuff.rs into GameState
39,64e39f5,2026-09-07T07:20:04+02:00,62789,63027,43487,1140,4615,271,5531,2903,27824,65,0,Phase 37: thread wi_stuff.rs into GameState
40,756d785,2026-09-07T07:26:03+02:00,62772,63013,43529,1140,4844,236,5531,2903,27824,65,0,Phase 38: thread r_main.rs into GameState
41,c2f8eee,2026-09-07T07:29:53+02:00,62783,63027,43529,1140,5059,203,5531,2903,27824,65,0,Phase 39: thread r_segs.rs into GameState
42,51dc357,2026-09-07T07:33:40+02:00,62765,63012,43529,1140,5421,171,5531,2903,27824,65,0,Phase 40: thread r_draw.rs into GameState
43,d0e866d,2026-09-07T07:40:34+02:00,62777,63027,43523,1140,5564,140,5531,2903,27824,65,0,"Phase 41: thread d_main.rs into GameState, permanently resolving the phase-34 oldgamestate shadow-collision workaround"
44,1fe98b2,2026-09-07T07:49:26+02:00,62755,63018,43385,1140,5876,112,5531,2903,27824,65,0,Phase 42: thread p_setup.rs into GameState
45,16a2954,2026-09-07T07:54:15+02:00,62759,63025,43385,1140,6016,85,5531,2903,27824,65,0,Phase 43: thread r_data.rs into GameState
46,d041482,2026-09-07T07:58:13+02:00,62768,63037,43385,1140,6122,63,5531,2903,27824,65,0,Phase 44: thread r_plane.rs into GameState
47,1184a37,2026-09-07T08:01:51+02:00,62775,63047,43385,1140,6312,53,5531,2903,27824,65,0,Phase 45: thread r_bsp.rs into GameState
48,bc46ca8,2026-09-07T08:05:11+02:00,62788,63063,43385,1140,6378,46,5531,2903,27824,65,0,Phase 46: thread s_sound.rs into GameState
49,cb67931,2026-09-07T08:09:14+02:00,62796,63074,43385,1140,6486,35,5531,2903,27824,65,0,Phase 47: thread i_video.rs into GameState
50,91d89e0,2026-09-07T08:14:15+02:00,62803,63084,43376,1137,6531,29,5528,2903,27821,65,0,Phase 48: thread f_wipe.rs into GameState
51,7336899,2026-09-07T08:17:53+02:00,62801,63085,43376,1137,6587,27,5528,2903,27821,65,0,Phase 49: thread p_tick.rs into GameState
52,12e0d7e,2026-09-07T08:24:02+02:00,62802,63089,43376,1137,6646,24,5528,2903,27821,65,0,Phase 50: thread info.rs's sprnames/states/mobjinfo into GameState
53,2a60cdd,2026-09-07T11:13:35+02:00,62862,63152,43405,1137,6664,24,5479,2897,27796,65,0,Track 17 phase A: arena-index sector_t/side_t/subsector_t
54,923ed98,2026-09-07T12:09:44+02:00,62881,63171,43422,1137,6755,24,5467,2896,27778,65,0,Track 17 phase B: arena-index line_t/seg_t/RBspState sector+side fields
55,325dc5a,2026-09-07T13:11:44+02:00,62937,63243,43425,1137,6757,24,5470,2896,27782,65,0,Track 17 phase C1: generational arena infra for mobj_t
56,972d848,2026-09-07T13:45:10+02:00,63026,63332,43513,1137,6782,24,5409,2896,27727,65,0,Track 17 phase C2: fix dangling target/tracer/soundtarget/attacker via MobjId
57,a321850,2026-09-07T13:55:13+02:00,63027,63333,43514,1137,6783,24,5407,2896,27727,65,0,Track 17 phase C3: index-based dispatch for the mobj thinker tick function
58,3a7f33e,2026-09-07T14:02:33+02:00,63035,63341,43520,1137,6789,24,5394,2896,27727,65,0,Track 17 phase C4: index-based PIT_* thing-iteration callback hub
59,3556ccc,2026-09-07T14:09:43+02:00,63088,63394,43572,1137,6841,24,5341,2896,27727,65,0,Track 17 phase C5: index-based dispatch for the StateAction::Mobj action hub
60,8937085,2026-09-07T14:24:07+02:00,63088,63394,43572,1137,6841,24,5341,2893,27730,65,0,Track 17 phase C6: clean up target/tracer/attacker savegame placeholder I/O
61,e824298,2026-09-07T16:03:18+02:00,63096,63405,43576,1137,6840,24,5349,2897,27735,65,0,Bridge-collapse BC1: thread state through the true program entry point
62,94518f5,2026-09-07T16:22:15+02:00,63096,63405,43576,1137,6748,24,5349,2897,27735,65,0,Bridge-collapse BC2: thread state through D_DoomMain
63,316953b,2026-09-07T16:24:31+02:00,63096,63405,43576,1137,6736,24,5349,2897,27735,65,0,Bridge-collapse BC3: thread state through D_DoomLoop
64,4ebbab2,2026-09-07T16:28:05+02:00,63097,63406,43576,1137,6713,24,5349,2897,27735,65,0,Bridge-collapse BC4: thread state through TryRunTics
65,702e63f,2026-09-07T16:33:05+02:00,63098,63407,43575,1137,6604,24,5349,2897,27735,65,0,Bridge-collapse BC5: thread state through D_DoomLoop's remaining children
66,07ac4ba,2026-09-07T16:36:25+02:00,63098,63407,43575,1137,6542,24,5349,2897,27735,65,0,Bridge-collapse BC6: thread state through D_Display
67,698e971,2026-09-07T16:40:28+02:00,63102,63411,43579,1137,6540,24,5349,2897,27735,65,0,Bridge-collapse BC7: thread state through M_LoadDefaults
68,4c0ddd4,2026-09-07T16:43:42+02:00,63102,63411,43579,1137,6529,24,5349,2897,27735,65,0,Bridge-collapse BC8: thread state through I_InitSound/I_BindSoundVariables
69,15742e0,2026-09-07T16:51:15+02:00,63122,63431,43589,1137,6516,24,5349,2897,27735,65,0,Bridge-collapse BC9: thread state through most of v_video.rs
70,6926e8d,2026-09-07T17:00:59+02:00,63127,63436,43593,1137,6437,24,5349,2897,27735,65,0,Bridge-collapse BC10: thread state through f_finale.rs
71,e0db540,2026-09-07T17:04:01+02:00,63127,63436,43593,1137,6409,24,5349,2897,27735,65,0,Bridge-collapse BC11: thread state through D_BindVariables
72,09e107d,2026-09-07T17:08:54+02:00,63130,63439,43595,1137,6350,24,5349,2897,27735,65,0,Bridge-collapse BC12: thread state through R_InitBuffer/R_FillBackScreen/R_VideoErase/R_DrawViewBorder
73,126e25c,2026-09-07T17:11:30+02:00,63128,63437,43593,1137,6349,24,5349,2897,27735,65,0,Bridge-collapse BC13: thread state through R_RenderPlayerView
74,6f9ed23,2026-09-07T17:16:52+02:00,63130,63439,43587,1137,6343,24,5349,2897,27735,65,0,Bridge-collapse BC14: thread state through HU_Drawer
75,6b44fdc,2026-09-07T17:19:24+02:00,63126,63435,43583,1137,6317,24,5349,2897,27735,65,0,Bridge-collapse BC15: thread state through NetUpdate
76,db25052,2026-09-07T17:22:49+02:00,63116,63425,43572,1137,6287,24,5349,2897,27735,65,0,Bridge-collapse BC16: thread state through M_Drawer
77,cb6394c,2026-09-07T17:29:25+02:00,63063,63372,43518,1137,6225,24,5349,2897,27735,65,0,Bridge-collapse BC17: thread state through ST_Drawer
78,0d4cfd2,2026-09-07T17:36:50+02:00,63073,63382,43526,1137,6101,24,5349,2897,27735,65,0,Bridge-collapse BC18: thread state through AM_Drawer
79,6c572ef,2026-09-07T17:41:38+02:00,63077,63386,43529,1137,5948,24,5349,2897,27735,65,0,Bridge-collapse BC19: thread state through WI_Drawer
80,9aa67fe,2026-09-07T17:45:11+02:00,63079,63388,43529,1137,5901,24,5349,2897,27735,65,0,Bridge-collapse BC20: thread state through D_CheckNetGame/D_ConnectNetGame
81,f4414eb,2026-09-07T17:50:29+02:00,63083,63392,43532,1137,5852,24,5349,2897,27735,65,0,Bridge-collapse BC21: thread state through most of s_sound.rs
82,cbe1815,2026-09-07T17:53:42+02:00,63084,63393,43532,1137,5692,24,5349,2897,27735,65,0,Bridge-collapse BC22: thread state through M_Bind*Controls
83,00aa6ab,2026-09-07T17:58:03+02:00,63088,63397,43534,1137,5695,24,5349,2897,27735,65,0,Bridge-collapse BC23: thread state through g_game.rs's small leaf functions
84,e2712c4,2026-09-07T18:02:39+02:00,63089,63398,43534,1137,5614,24,5349,2897,27735,65,0,Bridge-collapse BC24: thread state through R_InitData
85,e116aae,2026-09-07T18:05:22+02:00,63089,63398,43534,1137,5573,24,5349,2897,27735,65,0,Bridge-collapse BC25: thread state through R_PrecacheLevel
86,3c9c8b0,2026-09-07T18:07:37+02:00,63089,63398,43534,1137,5558,24,5349,2897,27735,65,0,Bridge-collapse BC26: thread state through R_GenerateComposite/R_GenerateLookup
87,de5adc5,2026-09-07T18:10:49+02:00,63097,63406,43542,1137,5570,24,5349,2897,27735,65,0,Bridge-collapse BC27: thread state through R_FlatNumForName/R_TextureNumForName
88,e95872b,2026-09-07T18:13:17+02:00,63097,63406,43542,1137,5563,24,5349,2897,27735,65,0,Bridge-collapse BC28: thread state through G_PlayerFinishLevel/G_PlayerReborn
89,d56894f,2026-09-07T18:15:31+02:00,63097,63406,43542,1137,5556,24,5349,2897,27735,65,0,Bridge-collapse BC29: thread state through G_WorldDone
90,4983347,2026-09-07T18:20:19+02:00,63087,63396,43531,1137,5520,24,5349,2897,27735,65,0,Bridge-collapse BC30: thread state through G_DoReborn/P_SpawnPlayer
91,71f13d6,2026-09-07T18:23:22+02:00,63087,63396,43531,1137,5474,24,5349,2897,27735,65,0,Bridge-collapse BC31: thread state through G_DoLoadGame/G_DoSaveGame/G_DoNewGame
92,5b5c463,2026-09-07T18:27:09+02:00,63085,63394,43531,1137,5416,24,5349,2897,27735,65,0,Bridge-collapse BC32: thread state through G_Ticker
93,8f5d0a6,2026-09-07T18:30:45+02:00,63082,63391,43527,1137,5404,24,5349,2897,27735,65,0,Bridge-collapse BC33: thread state through P_Ticker
94,9840525,2026-09-07T18:41:12+02:00,63083,63392,43528,1137,4945,24,5349,2897,27735,65,0,Bridge-collapse BC34: thread state through the remaining G_Ticker dispatch targets
95,f6a0f57,2026-09-07T18:44:29+02:00,63083,63392,43528,1137,4896,24,5349,2897,27735,65,0,Bridge-collapse BC35: thread state through G_DoLoadLevel/G_DoWorldDone
96,f52b30d,2026-09-07T18:47:52+02:00,63083,63392,43528,1137,4817,24,5349,2897,27735,65,0,Bridge-collapse BC36: thread state through G_DoCompleted
97,0ab3a5c,2026-09-07T18:51:07+02:00,63083,63392,43528,1137,4763,24,5349,2897,27735,65,0,Bridge-collapse BC37: thread state through G_DoPlayDemo
98,ed78fc4,2026-09-07T18:55:08+02:00,63078,63387,43523,1137,4725,24,5349,2897,27735,65,0,Bridge-collapse BC38: thread state through G_InitNew
99,393a90d,2026-09-07T18:57:24+02:00,63069,63378,43514,1137,4709,24,5349,2897,27735,65,0,Bridge-collapse BC39: thread state through G_NextWeapon/WeaponSelectable
100,8a90345,2026-09-07T19:01:09+02:00,63069,63378,43514,1137,4663,24,5349,2897,27735,65,0,Bridge-collapse BC40: thread state through G_Responder
101,5ca67e7,2026-09-07T19:06:32+02:00,63071,63380,43516,1137,4541,24,5349,2897,27735,65,0,Bridge-collapse BC41: thread state through the demo recording/playback cluster
102,4d9bc2d,2026-09-07T19:19:49+02:00,63066,63375,43512,1137,4328,24,5349,2897,27735,65,0,Bridge-collapse BC42: collapse the loop_interface_t hub
103,ab61840,2026-09-07T19:43:16+02:00,63093,63402,43418,1137,3863,24,5349,2897,27731,65,0,Bridge-collapse BC43: collapse the menu-routine hubs and M_Responder
104,3eae695,2026-09-07T19:51:41+02:00,63091,63400,43416,1137,3804,24,5349,2897,27731,65,0,Bridge-collapse BC44: collapse the f_wipe wipe-effect hub
105,c4ba85c,2026-09-07T21:10:00+02:00,63102,63411,43425,1137,3337,24,5349,2897,27731,65,0,Bridge-collapse BC45: collapse R_StoreWallRange rendering cluster
106,e499543,2026-09-07T21:14:49+02:00,63108,63417,43428,1137,3264,24,5349,2897,27731,65,0,Bridge-collapse BC46: collapse R_Subsector/R_FindPlane/R_AddSprites/R_ProjectSprite cluster
107,786af55,2026-09-07T21:19:04+02:00,63110,63419,43430,1137,3196,24,5349,2897,27731,65,0,"Bridge-collapse BC47: collapse R_RenderBSPNode/R_AddLine/R_CheckBBox, completing the rendering hot-path cluster"
108,26b78b4,2026-09-07T21:22:28+02:00,63110,63419,43430,1137,3181,24,5349,2897,27731,65,0,Bridge-collapse BC48: collapse R_ClipSolidWallSegment/R_ClipPassWallSegment
109,7d4ce92,2026-09-07T21:25:15+02:00,63109,63418,43430,1137,3172,24,5349,2897,27731,65,0,"Bridge-collapse BC49: collapse R_ClearDrawSegs/R_ClearClipSegs, completing r_bsp.rs"
110,c19a2db,2026-09-07T21:30:42+02:00,63109,63418,43430,1137,3069,24,5349,2897,27731,65,0,Bridge-collapse BC50: collapse sprite-drawing leaves (R_ClearSprites/R_NewVisSprite/R_DrawMaskedColumn/R_DrawVisSprite/R_DrawPSprite/R_DrawPlayerSprites/R_SortVisSprites)
111,0cb0ebc,2026-09-07T21:34:52+02:00,63108,63417,43430,1137,2956,24,5349,2897,27731,65,0,"Bridge-collapse BC51: collapse R_DrawSprite/R_DrawMasked/R_RenderMaskedSegRange, completing the masked-sprite-drawing cluster"
112,daf19a5,2026-09-07T21:37:55+02:00,63109,63418,43431,1137,2902,24,5349,2897,27731,65,0,"Bridge-collapse BC52: collapse R_InitSprites/R_InitSpriteDefs/R_InstallSpriteLump, completing r_things.rs"
113,3856fc8,2026-09-07T21:42:48+02:00,63111,63420,43434,1137,2805,24,5349,2897,27731,65,0,"Bridge-collapse BC53: collapse R_MapPlane/R_ClearPlanes/R_MakeSpans/R_DrawPlanes, completing r_plane.rs"
114,3f220af,2026-09-07T21:47:37+02:00,63108,63417,43431,1137,2763,24,5349,2897,27731,65,0,Bridge-collapse BC54: collapse R_SetupFrame/R_SetViewSize/R_InitTextureMapping/R_InitLightTables
115,7ca2ce2,2026-09-07T21:53:41+02:00,63119,63428,43441,1137,2770,24,5349,2897,27731,65,0,Bridge-collapse BC55: collapse R_PointToAngle/R_PointToAngle2
116,65aacf0,2026-09-07T21:56:56+02:00,63119,63428,43441,1137,2770,24,5349,2897,27731,65,0,Bridge-collapse BC56: collapse R_PointInSubsector
117,94839ae,2026-09-07T21:59:09+02:00,63118,63427,43441,1137,2764,24,5349,2897,27731,65,0,"Bridge-collapse BC57: collapse R_Init, completing r_main.rs and the entire r_* rendering cluster"
118,5e1f22b,2026-09-07T22:06:12+02:00,63117,63426,43441,1137,2573,24,5349,2897,27731,65,0,Bridge-collapse BC58: collapse the colfunc/spanfunc rendering hub -- FOURTH HUB CONVERSION
119,072abb5,2026-09-07T22:16:01+02:00,63117,63426,43441,1137,2450,24,5349,2897,27731,65,0,Bridge-collapse BC59: collapse ST_Start/ST_Stop/ST_Init and the status bar init cluster
120,2d4f071,2026-09-07T22:20:00+02:00,63117,63426,43441,1137,2369,24,5349,2897,27731,65,0,Bridge-collapse BC60: collapse ST_Responder (cheat-code handler)
121,251c249,2026-09-07T22:23:19+02:00,63117,63426,43441,1137,2363,24,5349,2897,27731,65,0,"Bridge-collapse BC61: collapse ST_calcPainOffset, effectively completing st_stuff.rs"
122,36931cd,2026-09-07T22:31:37+02:00,63122,63431,43447,1137,2224,24,5349,2897,27731,65,0,"Bridge-collapse BC62: collapse HU_Init/HU_Stop/HU_Start/HU_Erase/HU_Ticker/HU_queueChatChar/HU_Responder, completing hu_stuff.rs and hu_lib.rs"
123,43fbeaf,2026-09-07T22:37:19+02:00,63123,63432,43448,1137,2103,24,5349,2897,27731,65,0,"Bridge-collapse BC63: collapse WI_Start/WI_End and the intermission-screen init cluster, completing wi_stuff.rs"
124,7d33f52,2026-09-07T23:04:37+02:00,63123,63432,43448,1137,1876,24,5349,2897,27731,65,0,"Bridge-collapse BC64: collapse AM_Start/AM_Stop/AM_Responder and the automap init cluster, effectively completing am_map.rs"
125,45d84bb,2026-09-07T23:13:51+02:00,63122,63431,43447,1137,1793,24,5349,2897,27731,65,0,"Bridge-collapse BC65: collapse D_IdentifyVersion/D_SetGameDescription/InitGameVersion and related startup helpers, effectively completing d_main.rs"
126,74ffe6d,2026-09-08T06:28:37+02:00,63114,63423,43440,1136,1718,24,5349,2897,27730,65,0,Bridge-collapse BC66: collapse the entire p_saveg.rs save/load serialization system
127,5d942c1,2026-09-08T06:37:41+02:00,63114,63423,43440,1136,1688,24,5349,2897,27730,65,0,Bridge-collapse BC67: collapse p_switch.rs entirely (P_InitSwitchList/P_StartButton/P_ChangeSwitchTexture/P_UseSpecialLine)
128,2491f0d,2026-09-08T06:49:50+02:00,63115,63424,43440,1136,1541,24,5349,2897,27730,65,0,Bridge-collapse BC68: collapse the entire p_setup.rs level-loading pipeline
129,93276d6,2026-09-08T07:19:50+02:00,63134,63443,43453,1136,1181,24,5349,2897,27730,65,0,"Bridge-collapse BC69: collapse the blockmap/PIT_*/PTR_* hub cluster -- FIFTH HUB CONVERSION, the deepest and most interconnected of the whole track"
130,3698be1,2026-09-08T07:57:00+02:00,63144,63453,43457,1136,1013,24,5349,2897,27730,65,0,"Bridge-collapse BC70: collapse the StateAction and ThinkerFn hubs -- SIXTH and SEVENTH hub conversions, the two deepest gameplay-dispatch tables in the codebase"
131,9a20bc5,2026-09-08T08:06:13+02:00,63139,63448,43452,1136,876,24,5349,2897,27730,65,0,Bridge-collapse BC70 follow-up: finish collapsing internal game_state() calls the first substitution pass missed
132,fd9ff21,2026-09-08T08:15:50+02:00,63136,63445,43450,1136,847,24,5349,2897,27730,65,0,Bridge-collapse BC71: finish p_maputl.rs -- close out the blockmap/PIT_*/PTR_* hub cluster to zero remaining game_state() calls
133,9790792,2026-09-08T08:36:54+02:00,63115,63424,43434,1136,670,24,5349,2897,27730,65,0,Bridge-collapse BC72: collapse the line/sector-special trigger subsystem (p_spec.rs cluster)
134,596ca71,2026-09-08T08:47:11+02:00,63118,63427,43436,1136,587,24,5349,2897,27730,65,0,Bridge-collapse BC73: collapse the mobj lifecycle subsystem in p_mobj.rs (spawn/move/despawn/respawn)
135,6db8c38,2026-09-08T08:52:25+02:00,63120,63429,43436,1136,546,24,5349,2897,27730,65,0,Bridge-collapse BC74: collapse p_inter.rs entirely (damage/death/item-pickup subsystem)
136,ac2aebf,2026-09-08T08:58:20+02:00,63115,63424,43432,1136,494,24,5349,2897,27730,65,0,Bridge-collapse BC75: finish p_enemy.rs -- collapse the remaining monster-AI leaf helpers to zero
137,cf99f7f,2026-09-08T09:03:30+02:00,63118,63427,43434,1136,480,24,5349,2897,27730,65,0,Bridge-collapse BC76: collapse S_GetChannel/S_AdjustSoundParams in s_sound.rs
138,0b169aa,2026-09-08T09:09:29+02:00,63117,63426,43434,1136,446,24,5349,2897,27730,65,0,Bridge-collapse BC77: collapse i_video.rs's frame-blit/palette pipeline
139,3796c7a,2026-09-08T09:15:25+02:00,63120,63429,43434,1136,424,24,5349,2897,27730,65,0,Bridge-collapse BC78: collapse I_ZoneBase/I_GetMemoryValue/Z_Init
140,a5c39a0,2026-09-08T09:19:02+02:00,63120,63429,43434,1136,406,24,5349,2897,27730,65,0,Bridge-collapse BC79: collapse OldNetSync/PlayersInGame/GetLowTic in d_loop.rs
141,8157400,2026-09-08T09:23:48+02:00,63121,63430,43435,1136,393,24,5349,2897,27730,65,0,Bridge-collapse BC80: collapse p_sight.rs entirely (line-of-sight checking)
142,d60a173,2026-09-08T09:28:24+02:00,63119,63428,43433,1136,381,24,5349,2897,27730,65,0,Bridge-collapse BC81: collapse p_user.rs entirely (per-player think/movement)
143,e99c020,2026-09-08T09:31:37+02:00,63119,63428,43433,1136,370,24,5349,2897,27730,65,0,Bridge-collapse BC82: collapse p_telept.rs entirely (EV_Teleport)
144,4a70285,2026-09-08T09:39:18+02:00,63118,63427,43432,1136,351,24,5349,2897,27730,65,0,Bridge-collapse BC83: finish p_pspr.rs's weapon-fire helpers (P_BulletSlope/P_GunShot/P_CheckAmmo/P_FireWeapon/P_BringUpWeapon/P_DropWeapon/P_SetupPsprites)
145,37e3a2f,2026-09-08T09:43:33+02:00,63117,63426,43432,1136,345,24,5349,2897,27730,65,0,Bridge-collapse BC84: collapse R_GetColumn in r_data.rs
146,eb39f2a,2026-09-08T09:48:48+02:00,63114,63423,43432,1136,335,24,5349,2897,27730,65,0,Bridge-collapse BC85: collapse P_AddThinker/P_InitThinkers and P_RemoveActivePlat/P_RemoveActiveCeiling
147,5104e93,2026-09-08T09:55:17+02:00,63115,63424,43433,1136,332,24,5349,2897,27730,65,0,"Bridge-collapse BC86: collapse R_InitSkyMap, I_GetEvent, and W_Checksum"
148,89de576,2026-09-08T10:04:11+02:00,63117,63426,43435,1136,321,24,5349,2897,27730,65,0,Bridge-collapse BC87: collapse D_FindIWAD and I_BindJoystickVariables
149,a05b850,2026-09-08T10:10:19+02:00,63120,63429,43435,1136,324,24,5349,2897,27730,65,0,Bridge-collapse BC88: collapse M_CheckParmWithArgs/M_CheckParm/M_ParmExists/M_FindResponseFile (the command-line-argument lookup hub)
150,5a13ef4,2026-09-08T21:14:23+02:00,62877,63186,43435,1136,324,24,5349,2897,27213,65,0,m_random cleanup
151,0619d53,2026-09-08T21:17:28+02:00,62877,63186,43435,1136,324,24,5349,2897,27208,65,0,d_events cleanup
152,46f60e6,2026-09-08T22:20:49+02:00,63315,63612,43570,1136,324,24,5349,2897,27208,65,0,cargo fmt
153,dac97c0,2026-09-08T22:24:50+02:00,63303,63600,43559,1136,324,24,5340,2887,27198,65,0,Screenshot handling
154,133fefb,2026-09-08T22:26:39+02:00,63307,63604,43559,1136,324,24,5340,2887,27195,65,0,m_fixed
